state,district,year,predicted_crimes
Kedah,Langkawi,2027,293.9892
Kedah,Padang Terap,2027,77.42111
Kedah,Pendang,2027,174.94878
Kedah,Sik,2027,50.204803
Kedah,Yan,2027,98.35634
Kelantan,Bachok,2027,210.76112
Kelantan,Gua Musang,2027,124.65764
Kelantan,Jeli,2027,35.39424
Kelantan,Kota Bharu,2027,1132.6893
Kelantan,Kuala Krai,2027,131.31998
Kelantan,Machang,2027,168.22424
Kelantan,Pasir Mas,2027,279.1156
Kelantan,Pasir Puteh,2027,266.01733
Kelantan,Tanah Merah,2027,171.33601
Kelantan,Tumpat,2027,234.57726
Melaka,Alor Gajah,2027,262.15714
Melaka,Jasin,2027,172.09814
Melaka,Melaka Tengah,2027,1520.7904
Negeri Sembilan,Jelebu,2027,51.315495
Negeri Sembilan,Jempol,2027,179.08043
Negeri Sembilan,Kuala Pilah,2027,151.42465
Negeri Sembilan,Nilai,2027,684.7076
Negeri Sembilan,Port Dickson,2027,262.47427
Negeri Sembilan,Rembau,2027,93.1374
Negeri Sembilan,Seremban,2027,975.7698
Negeri Sembilan,Tampin,2027,144.71254
Pahang,Bentong,2027,291.25812
Pahang,Bera,2027,107.39345
Pahang,Jerantut,2027,134.9683
Pahang,Kuala Lipis,2027,84.87224
Pahang,Kuantan,2027,1003.8702
Pahang,Maran,2027,171.395
Pahang,Pekan,2027,133.19667
Pahang,Raub,2027,81.938065
Pahang,Rompin,2027,144.80464
Pahang,Temerloh,2027,219.49382
Perak,Batu Gajah,2027,72.40221
Perak,Gerik,2027,57.18856
Perak,Hilir Perak,2027,403.92593
Perak,Ipoh,2027,1348.1011
Perak,Kampar,2027,126.343315
Perak,Kerian,2027,156.57419
Perak,Kuala Kangsar,2027,95.66541
Perak,Manjung,2027,395.30206
Perak,Pengkalan Hulu,2027,11.202009
Perak,Perak Tengah,2027,96.473656
Perak,Selama,2027,25.158272
Perak,Sungai Siput,2027,84.92017
Perak,Taiping,2027,488.10474
Perak,Tanjong Malim,2027,97.490746
Perak,Tapah,2027,127.605835
Perlis,Arau,2027,100.577896
Perlis,Kangar,2027,266.12222
Perlis,Padang Besar,2027,64.46739
Pulau Pinang,Barat Daya,2027,359.67853
Pulau Pinang,Seberang Perai Selatan,2027,326.42435
Pulau Pinang,Seberang Perai Tengah,2027,1334.2521
Pulau Pinang,Seberang Perai Utara,2027,739.71356
Pulau Pinang,Timur Laut,2027,1103.4286
Sabah,Beaufort,2027,98.40257
Sabah,Beluran,2027,48.488773
Sabah,Keningau,2027,133.65688
Sabah,Kota Belud,2027,108.40815
Sabah,Kota Kinabalu,2027,1013.3497
Sabah,Kota Kinabatangan,2027,51.881348
Sabah,Kota Marudu,2027,69.87898
Sabah,Kudat,2027,34.853024
Sabah,Kunak,2027,50.18134
Sabah,Lahad Datu,2027,201.15488
Sabah,Papar,2027,173.14975
Sabah,Penampang,2027,356.12958
Sabah,Ranau,2027,58.931656
Sabah,Sandakan,2027,448.60843
Sabah,Semporna,2027,240.21642
Sabah,Sipitang,2027,63.96945
Sabah,Tawau,2027,598.7768
Sabah,Tenom,2027,30.933237
Sabah,Tuaran,2027,78.26222
Sabah,W.P. Labuan,2027,163.20941
Sarawak,Bau,2027,43.81951
Sarawak,Belaga,2027,34.711746
Sarawak,Betong,2027,57.4036
Sarawak,Bintulu,2027,379.36234
Sarawak,Dalat,2027,17.049637
Sarawak,Julau,2027,6.3308797
Sarawak,Kanowit,2027,14.144205
Sarawak,Kapit,2027,38.038284
Sarawak,Kota Samarahan,2027,286.04025
Sarawak,Kuching,2027,1054.0392
Sarawak,Lawas,2027,33.76682
Sarawak,Limbang,2027,43.54132
Sarawak,Lubok Antu,2027,18.286171
Sarawak,Lundu,2027,46.20236
Sarawak,Marudi,2027,61.17332
Sarawak,Matu Daro,2027,18.908379
Sarawak,Meradong,2027,34.182564
Sarawak,Miri,2027,693.9561
Sarawak,Mukah,2027,60.796875
Sarawak,Padawan,2027,653.4082
Sarawak,Saratok,2027,28.374834
Sarawak,Sarikei,2027,118.94106
Sarawak,Serian,2027,95.98774
Sarawak,Sibu,2027,585.7266
Sarawak,Simunjan,2027,32.68243
Sarawak,Song,2027,6.883093
Sarawak,Sri Aman,2027,86.28123
Sarawak,Tatau,2027,17.056793
Selangor,Ampang Jaya,2027,1728.5011
Selangor,Gombak,2027,2041.8043
Selangor,Hulu Selangor,2027,394.2124
Selangor,Kajang,2027,2090.2397
Selangor,Klang Selatan,2027,1473.7106
Selangor,Klang Utara,2027,890.21405
Selangor,Kuala Langat,2027,452.41815
Selangor,Kuala Selangor,2027,359.4733
Selangor,Petaling Jaya,2027,2563.9077
Selangor,Sabak Bernam,2027,248.46002
Selangor,Sepang,2027,582.408
Selangor,Serdang,2027,1390.2528
Selangor,Shah Alam,2027,1007.8763
Selangor,Subang Jaya,2027,1005.3964
Terengganu,Besut,2027,320.29694
Terengganu,Dungun,2027,223.202
Terengganu,Hulu Terengganu,2027,98.134834
Terengganu,Kemaman,2027,263.24548
Terengganu,Kuala Terengganu,2027,494.58765
