series,date,state,sector,value
abs,1/1/2018,Sarawak,Construction,4402.37
abs,1/1/2018,Sarawak,Services,46312.482
abs,1/1/2018,Sarawak,(plus) Import dutie,474.869
abs,1/1/2018,Selangor,GDP at purchasers' prices,323215.439
abs,1/1/2018,Selangor,Agriculture,4534.651
abs,1/1/2018,Selangor,Mining and quarrying,737.317
abs,1/1/2018,Selangor,Manufacturing,91132.978
abs,1/1/2018,Selangor,Construction,18645.768
abs,1/1/2018,Selangor,Services,200323.506
abs,1/1/2018,Selangor,(plus) Import dutie,7841.217
abs,1/1/2018,Terengganu,GDP at purchasers' prices,34838.208
abs,1/1/2018,Terengganu,Agriculture,2846.927
abs,1/1/2018,Terengganu,Mining and quarrying,183.225
abs,1/1/2018,Terengganu,Manufacturing,13055.539
abs,1/1/2018,Terengganu,Construction,1161.133
abs,1/1/2018,Terengganu,Services,17527.333
abs,1/1/2018,Terengganu,(plus) Import dutie,64.051
abs,1/1/2018,W.P. Kuala Lumpur,GDP at purchasers' prices,220358.974
abs,1/1/2018,W.P. Kuala Lumpur,Agriculture,0
abs,1/1/2018,W.P. Kuala Lumpur,Mining and quarrying,145.724
abs,1/1/2018,W.P. Kuala Lumpur,Manufacturing,5867.619
abs,1/1/2018,W.P. Kuala Lumpur,Construction,17446.124
abs,1/1/2018,W.P. Kuala Lumpur,Services,193472.341
abs,1/1/2018,W.P. Kuala Lumpur,(plus) Import dutie,3425.512
abs,1/1/2018,W.P. Labuan,GDP at purchasers' prices,7244.941
abs,1/1/2018,W.P. Labuan,Agriculture,125.608
abs,1/1/2018,W.P. Labuan,Mining and quarrying,0
abs,1/1/2018,W.P. Labuan,Manufacturing,1364.66
abs,1/1/2018,W.P. Labuan,Construction,156.064
abs,1/1/2018,W.P. Labuan,Services,5480.777
abs,1/1/2018,W.P. Labuan,(plus) Import dutie,117.831
abs,1/1/2019,Johor,GDP at purchasers' prices,134225.938
abs,1/1/2019,Johor,Agriculture,16403.246
abs,1/1/2019,Johor,Mining and quarrying,812.547
abs,1/1/2019,Johor,Manufacturing,40124.896
abs,1/1/2019,Johor,Construction,6699.7
abs,1/1/2019,Johor,Services,68576.722
abs,1/1/2019,Johor,(plus) Import dutie,1608.826
abs,1/1/2019,Kedah,GDP at purchasers' prices,46841.199
abs,1/1/2019,Kedah,Agriculture,5645.724
abs,1/1/2019,Kedah,Mining and quarrying,125.34
abs,1/1/2019,Kedah,Manufacturing,13429.618
abs,1/1/2019,Kedah,Construction,1090.383
abs,1/1/2019,Kedah,Services,26326.519
abs,1/1/2019,Kedah,(plus) Import dutie,223.615
abs,1/1/2019,Kelantan,GDP at purchasers' prices,25479.178
abs,1/1/2019,Kelantan,Agriculture,5813.752
abs,1/1/2019,Kelantan,Mining and quarrying,416.804
abs,1/1/2019,Kelantan,Manufacturing,1300.391
